Component, CC
tests.net.sf.jabref.SearchTextListenerTest,1
net.sf.jabref.JabRefFrame,283
antlr.TreeBlockContext,2
com.incors.plaf.FastGradientPaint,2
net.sf.jabref.search.RegExNode,2
tests.net.sf.jabref.UtilFindFileTest,8
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.dblppp.JabRefDBLPppPlugin,1
com.incors.plaf.FastGradientPaintContext,2
antlr.NameSpace,2
jabref-mrdlib.src.osx.osxadapter.OSXAdapter,1
net.sf.jabref.PreviewPrefsTab,18
antlr.DefaultFileLineFormatter,2
net.sf.jabref.autocompleter.EntireFieldAutoCompleter,1
net.sf.jabref.oo.OOTestPanel,22
com.incors.plaf.kunststoff.KunststoffMenuBarUI,1
net.sf.jabref.DatabaseChangeEvent,2
antlr.build.Tool,1
antlr.CppCodeGenerator,2
net.sf.jabref.export.xml.test.net.sf.jabref.export.xml.XslFormatterTest,1
antlr.ASTIterator,2
com.incors.plaf.kunststoff.KunststoffTheme,1
antlr.debug.ParserTokenAdapter,1
net.sf.jabref.groups.VersionHandling,10
antlr.debug.ListenerBase,1
antlr.TokenRefElement,2
net.sf.jabref.export.SaveDatabaseAction,11
net.sf.jabref.imports.CiteSeerEntryFetcherHandler,1
antlr.CommonHiddenStreamToken,2
jabref-mrdlib.src.java.spl.DocumentWrapper,1
net.sf.jabref.oo.BibtexEntryNotFoundException,1
tests.net.sf.jabref.gui.AutoCompleterTest,1
net.sf.jabref.export.SaveSession,9
net.sf.jabref.PrefsDialog3,32
net.sf.jabref.PrefsDialog2,25
net.sf.jabref.util.ErrorConsole,5
antlr.TokenStreamRecognitionException,2
net.sf.jabref.imports.MedlineAuthorFetcher,3
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.DBLPPlusPlusService,1
tests.net.sf.jabref.imports.AllTests,5
net.sf.jabref.external.TransferableFileLinkSelection,1
net.sf.jabref.KeyCollisionException,1
gnu.dtools.ritopt.OptionModule,3
net.sf.jabref.AbstractWorker,5
net.sf.jabref.gui.MainTableSelectionListener,32
tests.net.sf.jabref.export.layout.format.AuthorLastFirstTest,1
antlr.ANTLRException,2
net.sf.jabref.export.layout.format.plugin.NameFormat,1
net.sf.jabref.export.CustomExportList,9
antlr.LLkParser,2
net.sf.jabref.export.layout.format.Authors,9
antlr.debug.misc.JTreeASTPanel,1
net.sf.jabref.util.XMPUtil,12
net.sf.jabref.util.Pair,1
net.sf.jabref.collab.GroupChange,7
net.sf.jabref.JabRefFileChooser,6
com.example.Main,1
net.sf.jabref.import.acm1.src.net.sf.jabref.imports.ACMFetcher,1
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence6,1
net.sf.jabref.search.SearchExpressionParserTokenTypes,6
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence5,1
net.sf.jabref.groups.TransferableEntrySelection,4
net.sf.jabref.groups.GroupMatcher,2
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence4,1
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence3,1
tests.net.sf.jabref.util.CaseChangerTest,2
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence2,1
antlr.TreeParserSharedInputState,2
net.sf.jabref.oo.OpenOfficePanel,1
antlr.TokenStream,2
net.sf.jabref.imports.GeneralFetcher,12
jabref-mrdlib.src.java.spl.DocumentsWrapper,1
net.sf.jabref.imports.ZipFileChooser,3
